Frequency Log(Hz), Gain (dB), Phase (deg)
3.19099925503623, -47.1431920230082, -10.1181722576411
3.1919986027911, -39.2300717480873, 64.8188881234907
3.19299876844898, -42.0000269924693, 26.4502746070572
3.19399974109229, -52.1297119578626, -178.214660621611
3.19500150986138, -43.2743990003773, -179.78078780173
3.1960009732095, -52.8723103731252, -50.4088152072919
3.19700122538, -40.3062576110491, -148.542048693006
3.19799917909668, -48.7810309403598, 9.01708047283857
3.19900098390036, -37.0812433766335, -174.497730516167
3.20000048311739, -36.0309474198501, -138.548504573703
3.20100074272445, -43.8806733827181, -24.5551111243335
3.20199870384354, -42.8794402967181, -91.1517173386158
3.20300045973997, -51.2850134514995, -145.629752825543
3.20399991027459, -44.8431187341445, -7.39366015034802
3.205000093415, -42.8751774372953, 162.943464083209
3.20600099883054, -51.1836038057544, -114.858249458774
3.20699960279259, -34.524734852865, -136.70253844326
3.20799892240952, -38.8785606619162, 83.7935311168358
3.20899894748532, -30.8767505311955, -148.361640984061
3.2099996678795, -30.3265311862537, 179.120426372102
3.21100107350707, -53.1750628763248, -149.021153789044
3.21200017538287, -39.8774872810338, -98.5490877486824
3.21299995620822, -30.3059332685399, -69.0640418043045
3.21400040603014, -27.9589606168536, 127.54116734958
3.21499855649084, -26.0367136776973, -121.040628522989
3.21600032148247, -26.8017522148578, 173.524837184695
3.21699978107049, -23.5212980907738, 70.5791387041393
3.21799988394631, -22.3302356696295, 112.155161323974
3.21900062039588, -21.1648634941047, 86.3033166536848
3.21999905616802, -22.8905000127487, 93.0138417605562
3.2210010375788, -25.3597612215706, 159.386464640429
3.2220007125909, -28.8127857918944, 91.4486382254052
3.22300099626282, -33.9356601042619, 98.7523732583455
3.22399898133631, -31.289662404516, -178.448421784468
3.2250004606179, -41.8731294029029, 114.609257838335
3.2259996358092, -41.0634435191029, -83.3575994786488
3.22699939533507, -48.5602654028311, -109.392946072046
3.22799972989414, -37.7457253749211, -147.1721338934
3.22900063023767, -39.067811737493, 163.934463245621
3.229999229151, -32.3737156093776, -139.46346439985
3.23100124011369, -33.653437973567, 10.1291081916195
3.23200094454179, -34.645340084406, -96.6921338606222
3.23300119137958, -38.4303874493497, 175.022647275688
3.23399913978802, -40.7330669247578, -27.5214355460463
3.2350004509513, -41.2980991773244, 179.25484399104
3.23599945879691, -45.0316105569555, -110.775183652507
3.23699898623904, -37.1164068695009, 157.549087544785
3.23799902442635, -41.049978214729, -69.1131699861883
3.23899956455855, -53.4077985966827, -37.3704080455368
3.24000059788624, -72.3361122956275, -110.530079879448
3.24099932917284, -45.0828263382545, -147.3690091681
3.24200132926794, -56.3818905241245, 155.39079184936
3.24300102287844, -41.3652522743398, 132.218793853342
3.24400118795988, -58.2842030142754, 17.2392634341176
3.24499905498727, -37.7573475766852, 125.869841337136
3.2460001438205, -50.4188979397962, -53.2589151526735
3.24699893035764, -42.820866284849, 76.0062363953105
3.24800090916488, -42.0438328526358, -165.790326085814
3.2490005815854, -46.6659549329406, -28.3976576744644
3.25000068760748, -43.9239196236915, -172.005271345339
3.25100121896064, -37.1137903010944, 69.7266897358695
3.25199945057821, -54.0222423064928, 155.14922386679
3.25300081423475, -47.8439831581084, -39.1336592014864
3.2539998743324, -46.2422374996386, -65.9126320289053
3.25499933960514, -40.3367570636799, -100.222156558223
3.25599920199009, -46.2217397757749, -98.2910042713766
3.2569994534725, -44.2707732243772, -21.7203549915947
3.25800008608557, -41.2980071567081, -95.134793711746
3.25900109191031, -46.5323563467054, 51.4672563646777
3.2599997958203, -36.4669205091087, -146.077284353117
3.26099886952085, -42.3120457738126, -49.0806120157976
3.26200096020906, -36.6350547819403, 27.1659090724837
3.26300074399605, -30.9586421857929, -154.525503871134
3.26400087429001, -28.5595020733917, -50.3436535304617
3.26499870668957, -24.3299903901766, -6.40610193416024
3.26599951309929, -25.647886142187, -36.5380407903506
3.2670006431298, -28.3558059217338, 17.7709516567889
3.26799947067493, -54.1645825421308, 23.3777042943575
3.26900123143088, -40.5881922750028, -119.722360606275
3.27000068680268, -40.1908136891065, -80.6092047908572
3.27100044793486, -36.4353055645378, -43.8932220776961
3.27200050744325, -31.7789012726754, -5.47042565941072
3.27300085798916, -28.1751498477485, 13.0850347236892
3.27399890962964, -26.6875820858214, -135.013682454746
3.27499982636105, -24.8870507008554, -153.002591301857
3.27600101237317, -22.5457550838151, -16.0238300305988
3.27699989564272, -22.5218605070728, 23.8896827050197
3.27799904572412, -26.348932136415, 177.874466023587
3.27900100860105, -30.9181599291673, -123.661134148702
3.28000066516452, -46.5479241484485, -60.2045280114534
3.28100056736865, -42.0889641304359, -77.3973569362224
3.28200070824056, -36.2035932414732, -168.88631776784
3.28300108085118, -47.4047700685364, -169.68757213968
3.28399915445508, -42.2802336846783, -136.789505855084
3.28499997573994, -52.3325919582918, -90.1202252744424
3.28600100822556, -42.5240549365988, 174.723430230135
3.28699973867395, -35.9608505851668, -97.420212268952
3.28800117911101, -49.9048902095485, -41.596372953239
3.28900031563631, -39.9816113225417, 115.978342213844
3.28999964806923, -32.8699001981569, 102.062480254473
3.29099916978897, -44.9336717170312, 89.9967515773014
3.29199887421708, -39.7821649620403, 177.682600657131
3.2930012269153, -39.4214960215645, -60.0055235939299
3.29399880509506, -40.0485945176136, 156.006830431194
3.29499901859806, -55.0001844100503, 106.820159018272
3.29599938891535, -39.4924602334054, -47.8339304966767
3.29699990967756, -44.2088786852549, -149.445402737989
3.2980005745566, -36.1955910039512, 81.0946339855264
3.29899893908692, -45.3536115313389, 120.768057810609
3.29999987899284, -51.6805985699163, -72.5283548793946
3.30100094426549, -41.0574263881059, -72.9876804985003
3.30199970735029, -39.6635605572947, 124.379611067448
3.30300101047984, -37.4114215597961, 38.3358168440732
3.30400001032864, -41.2842285011661, -123.981094249072
3.30499912220679, -40.7962650181055, -167.604283458763
3.30600073927251, -37.409327980776, -76.5462046505072
3.30700005161464, -36.6857372212259, 125.40757585418
3.3079994579972, -39.5820386223672, -68.1028023752092
3.30899895249898, -35.2592216817041, -42.152487093196
3.3100009064394, -44.7847217821528, 69.309611860592
3.31100055410746, -44.0632670300856, 43.8217171313965
3.31200027237834, -46.3690638896591, 109.678906080138
3.31300005548701, -43.4502378557341, 153.099909977756
3.31399989770702, -35.6072055164239, -81.259911623509
3.3149997933504, -39.0569735175712, -153.932455000901
3.31599973676745, -43.9482159163641, -44.9723444974174
3.3169997223466, -42.0095511265089, -40.5670253643736
3.31799974451422, -50.7505797659548, -79.333104568013
3.31899979773445, -37.066638980422, 53.8119924468909
3.31999987650906, -37.4061051823629, -16.4741794302909
3.32099997537725, -36.8940201945008, 6.54999407716353
3.3220000889155, -40.5675802089894, -24.1539443799006
3.32300021173739, -41.9001709018141, 142.989651125311
3.32400033849343, -30.2535314810666, -115.537810912176
3.32500046387092, -30.4778895179126, -148.44283757532
3.32600058259373, -39.7043559718168, -152.0255537462
3.32700068942219, -43.3683746640852, 94.8990436414095
3.32800077915286, -39.770052023928, 63.7942104063169
3.32900084661842, -29.1214982148963, -146.870484192686
3.33000088668746, -28.4935659580683, 142.65140833874
3.33100089426433, -22.1879085294941, 16.6151923209858
3.33200086428896, -35.9886575329682, 13.712481796628
3.3330007917367, -37.8482092333464, -54.3927948376907
3.33400067161817, -35.4149213293951, 91.0073316887614
3.33500049897903, -36.2683149187574, -39.0661324470579
3.3360002688999, -43.9750037041, 125.993886664721
3.33699997649611, -40.2786379496218, -142.668099182317
3.33799961691759, -52.130042152048, 174.696620100023
3.33899918534867, -46.4193418706336, -65.045950282143
3.34000089554095, -45.0531823938676, -159.783964245033
3.34100030058155, -53.4214523379509, -146.801209925299
3.34199961940169, -46.80763305888, 138.531060888462
3.34300105058159, -54.6337549594955, -1.98319404301966
3.34400017789228, -52.2289655869287, 51.1186904633718
3.34499920505607, -48.5447647583176, 101.378237246596
3.34600031558993, -45.2995288722219, -131.739518984335
3.346999123728, -46.5710284662299, 5.99398007703514
3.3479999961365, -42.8020346357602, 172.984246185656
3.34900074027468, -41.6203359155088, 154.743289934807
3.34999918370013, -48.5224526777798, 146.819609847655
3.35099966308349, -42.9226474810189, 144.724945666234
