Frequency,Magnitude_dB,Phase_deg
29.8865287355038,-184.327365754201,-89.9817524789492
30.2329468440578,-184.027065528298,-89.9815409698362
30.5833803237843,-183.726765304131,-89.9813270090956
30.9378757173014,-183.426465081739,-89.9811105683102
31.2964801067075,-183.126164861163,-89.9808916187336
31.6592411198352,-182.825864642446,-89.980670131286
32.0262069365765,-182.525564425631,-89.9804460765505
32.397426295282,-182.225264210763,-89.9802194247694
32.7729484992338,-181.924963997887,-89.97999014584
33.1528234231942,-181.624663787049,-89.9797582093106
33.5371015200293,-181.324363578298,-89.9795235843766
33.9258338274099,-181.024063371681,-89.9792862398763
34.3190719745904,-180.723763167248,-89.9790461442869
34.7168681892656,-180.423462965051,-89.97880326572
35.1192753045073,-180.123162765141,-89.9785575719178
35.5263467657814,-179.822862567571,-89.9783090302485
35.9381366380463,-179.522562372398,-89.978057607702
36.3546996129332,-179.222262179675,-89.9778032708857
36.7760910160103,-178.921961989461,-89.9775459860198
37.2023668141307,-178.621661801813,-89.9772857189331
37.6335836228653,-178.321361616792,-89.9770224350581
38.0697987140229,-178.021061434459,-89.976756099427
38.5110700232557,-177.720761254877,-89.9764866766662
38.957456157755,-177.420461078109,-89.9762141309924
39.4090164040345,-177.120160904222,-89.9759384262075
39.8658107358044,-176.819860733282,-89.9756595256936
40.3278998219371,-176.519560565359,-89.9753773924087
40.7953450345245,-176.219260400522,-89.9750919888811
41.2682084570295,-175.918960238843,-89.9748032772051
41.7465528925314,-175.618660080397,-89.9745112190352
42.2304418720667,-175.318359925258,-89.9742157755817
42.7199396630678,-175.018059773504,-89.9739169076054
43.2151112778976,-174.717759625214,-89.973614575412
43.716022482485,-174.417459480468,-89.9733087388472
44.222739805059,-174.117159339349,-89.9729993572913
44.7353305449847,-173.816859201941,-89.9726863896536
45.2538627817017,-173.516559068331,-89.9723697943675
45.7784053837662,-173.216258938609,-89.972049529384
46.3090280179974,-172.915958812863,-89.9717255521673
46.8458011587305,-172.615658691188,-89.9713978196881
47.3887960971765,-172.315358573677,-89.9710662884186
47.9380849508911,-172.015058460428,-89.9707309143263
48.4937406733524,-171.714758351541,-89.9703916528685
49.0558370636505,-171.414458247117,-89.9700484589859
49.6244487762892,-171.11415814726,-89.9697012870973
50.1996513311008,-170.813858052077,-89.9693500910927
50.7815211232767,-170.513557961676,-89.968994824328
51.3701354335134,-170.213257876169,-89.9686354396182
51.9655724382766,-169.912957795671,-89.9682718892314
52.5679112201842,-169.612657720297,-89.9679041248827
53.1772317785097,-169.312357650169,-89.9675320977271
53.793615039807,-169.012057585407,-89.9671557583537
54.4171428686589,-168.711757526136,-89.9667750567787
55.0478980785497,-168.411457472486,-89.966389942439
55.6859644428641,-168.111157424587,-89.9660003641855
56.3314267060135,-167.810857382573,-89.965606270276
56.9843705946914,-167.510557346581,-89.9652076083686
57.6448828292588,-167.210257316752,-89.9648043255149
