Freq.	V(n003)
1.57761126969933e+02	(-3.10905159555562e-03dB,1.79665238856234e+02°)
1.58124803927037e+02	(-3.10901375674646e-03dB,1.79664467149100e+02°)
1.58489319246110e+02	(-3.10897574325164e-03dB,1.79663693662975e+02°)
1.58854674859776e+02	(-3.10893755429268e-03dB,1.79662918393760e+02°)
1.59220872705115e+02	(-3.10889918908046e-03dB,1.79662141337344e+02°)
1.59587914723672e+02	(-3.10886064676512e-03dB,1.79661362489607e+02°)
1.59955802861465e+02	(-3.10882192656142e-03dB,1.79660581846419e+02°)
1.60324539069002e+02	(-3.10878302762334e-03dB,1.79659799403641e+02°)
1.60694125301286e+02	(-3.10874394914923e-03dB,1.79659015157124e+02°)
1.61064563517825e+02	(-3.10870469028634e-03dB,1.79658229102711e+02°)
1.61435855682647e+02	(-3.10866525022530e-03dB,1.79657441236233e+02°)
1.61808003764305e+02	(-3.10862562809598e-03dB,1.79656651553513e+02°)
1.62181009735891e+02	(-3.10858582309963e-03dB,1.79655860050364e+02°)
1.62554875575047e+02	(-3.10854583436420e-03dB,1.79655066722590e+02°)
1.62929603263970e+02	(-3.10850566106200e-03dB,1.79654271565983e+02°)
1.63305194789432e+02	(-3.10846530230745e-03dB,1.79653474576329e+02°)
1.63681652142779e+02	(-3.10842475727866e-03dB,1.79652675749401e+02°)
1.64058977319952e+02	(-3.10838402509972e-03dB,1.79651875080963e+02°)
1.64437172321491e+02	(-3.10834310490724e-03dB,1.79651072566771e+02°)
1.64816239152549e+02	(-3.10830199583976e-03dB,1.79650268202569e+02°)
1.65196179822900e+02	(-3.10826069702428e-03dB,1.79649461984093e+02°)
1.65576996346951e+02	(-3.10821920758678e-03dB,1.79648653907067e+02°)
1.65958690743754e+02	(-3.10817752663497e-03dB,1.79647843967208e+02°)
1.66341265037015e+02	(-3.10813565329194e-03dB,1.79647032160220e+02°)
1.66724721255104e+02	(-3.10809358668661e-03dB,1.79646218481800e+02°)
1.67109061431069e+02	(-3.10805132589867e-03dB,1.79645402927633e+02°)
1.67494287602642e+02	(-3.10800887005222e-03dB,1.79644585493395e+02°)
1.67880401812254e+02	(-3.10796621822792e-03dB,1.79643766174752e+02°)
1.68267406107045e+02	(-3.10792336954405e-03dB,1.79642944967359e+02°)
1.68655302538872e+02	(-3.10788032308033e-03dB,1.79642121866863e+02°)
1.69044093164324e+02	(-3.10783707790875e-03dB,1.79641296868899e+02°)
1.69433780044731e+02	(-3.10779363313891e-03dB,1.79640469969092e+02°)
1.69824365246172e+02	(-3.10774998782930e-03dB,1.79639641163060e+02°)
1.70215850839493e+02	(-3.10770614107217e-03dB,1.79638810446406e+02°)
1.70608238900310e+02	(-3.10766209191923e-03dB,1.79637977814726e+02°)
1.71001531509027e+02	(-3.10761783945696e-03dB,1.79637143263607e+02°)
1.71395730750840e+02	(-3.10757338272550e-03dB,1.79636306788622e+02°)
1.71790838715757e+02	(-3.10752872078527e-03dB,1.79635468385336e+02°)
1.72186857498599e+02	(-3.10748385272273e-03dB,1.79634628049305e+02°)
1.72583789199018e+02	(-3.10743877754040e-03dB,1.79633785776072e+02°)
1.72981635921508e+02	(-3.10739349429388e-03dB,1.79632941561172e+02°)
1.73380399775412e+02	(-3.10734800204841e-03dB,1.79632095400128e+02°)
1.73780082874935e+02	(-3.10730229981808e-03dB,1.79631247288454e+02°)
1.74180687339159e+02	(-3.10725638661990e-03dB,1.79630397221654e+02°)
1.74582215292048e+02	(-3.10721026150754e-03dB,1.79629545195219e+02°)
1.74984668862463e+02	(-3.10716392351053e-03dB,1.79628691204632e+02°)
1.75388050184174e+02	(-3.10711737159668e-03dB,1.79627835245366e+02°)
1.75792361395867e+02	(-3.10707060481965e-03dB,1.79626977312881e+02°)
1.76197604641161e+02	(-3.10702362218197e-03dB,1.79626117402629e+02°)
