Freq.	V(out)
1.18850222743701e+02	(-1.58146322700493e+02dB,8.94804686935325e+01°)
1.19124200802737e+02	(-1.58086322674554e+02dB,8.94792737573293e+01°)
1.19398810446427e+02	(-1.58026322648495e+02dB,8.94780760602642e+01°)
1.19674053130724e+02	(-1.57966322622316e+02dB,8.94768755959870e+01°)
1.19949930314937e+02	(-1.57906322596016e+02dB,8.94756723581329e+01°)
1.20226443461741e+02	(-1.57846322569594e+02dB,8.94744663403221e+01°)
1.20503594037179e+02	(-1.57786322543051e+02dB,8.94732575361604e+01°)
1.20781383510677e+02	(-1.57726322516385e+02dB,8.94720459392386e+01°)
1.21059813355048e+02	(-1.57666322489596e+02dB,8.94708315431328e+01°)
1.21338885046497e+02	(-1.57606322462683e+02dB,8.94696143414042e+01°)
1.21618600064636e+02	(-1.57546322435646e+02dB,8.94683943275992e+01°)
1.21898959892486e+02	(-1.57486322408484e+02dB,8.94671714952492e+01°)
1.22179966016487e+02	(-1.57426322381197e+02dB,8.94659458378707e+01°)
1.22461619926504e+02	(-1.57366322353783e+02dB,8.94647173489652e+01°)
1.22743923115840e+02	(-1.57306322326244e+02dB,8.94634860220191e+01°)
1.23026877081238e+02	(-1.57246322298577e+02dB,8.94622518505041e+01°)
1.23310483322890e+02	(-1.57186322270782e+02dB,8.94610148278764e+01°)
1.23594743344450e+02	(-1.57126322242859e+02dB,8.94597749475773e+01°)
1.23879658653036e+02	(-1.57066322214807e+02dB,8.94585322030329e+01°)
1.24165230759240e+02	(-1.57006322186626e+02dB,8.94572865876541e+01°)
1.24451461177138e+02	(-1.56946322158315e+02dB,8.94560380948365e+01°)
1.24738351424294e+02	(-1.56886322129873e+02dB,8.94547867179607e+01°)
1.25025903021771e+02	(-1.56826322101299e+02dB,8.94535324503918e+01°)
1.25314117494141e+02	(-1.56766322072594e+02dB,8.94522752854795e+01°)
1.25602996369487e+02	(-1.56706322043756e+02dB,8.94510152165584e+01°)
1.25892541179416e+02	(-1.56646322014785e+02dB,8.94497522369474e+01°)
1.26182753459066e+02	(-1.56586321985680e+02dB,8.94484863399503e+01°)
1.26473634747114e+02	(-1.56526321956441e+02dB,8.94472175188551e+01°)
1.26765186585784e+02	(-1.56466321927067e+02dB,8.94459457669345e+01°)
1.27057410520853e+02	(-1.56406321897557e+02dB,8.94446710774456e+01°)
1.27350308101665e+02	(-1.56346321867912e+02dB,8.94433934436300e+01°)
1.27643880881134e+02	(-1.56286321838129e+02dB,8.94421128587135e+01°)
1.27938130415752e+02	(-1.56226321808209e+02dB,8.94408293159064e+01°)
1.28233058265601e+02	(-1.56166321778150e+02dB,8.94395428084033e+01°)
1.28528665994361e+02	(-1.56106321747953e+02dB,8.94382533293831e+01°)
1.28824955169313e+02	(-1.56046321717617e+02dB,8.94369608720089e+01°)
1.29121927361353e+02	(-1.55986321687140e+02dB,8.94356654294280e+01°)
1.29419584144998e+02	(-1.55926321656523e+02dB,8.94343669947719e+01°)
1.29717927098395e+02	(-1.55866321625764e+02dB,8.94330655611563e+01°)
1.30016957803328e+02	(-1.55806321594864e+02dB,8.94317611216807e+01°)
1.30316677845229e+02	(-1.55746321563821e+02dB,8.94304536694291e+01°)
1.30617088813183e+02	(-1.55686321532634e+02dB,8.94291431974692e+01°)
1.30918192299940e+02	(-1.55626321501304e+02dB,8.94278296988529e+01°)
1.31219989901920e+02	(-1.55566321469829e+02dB,8.94265131666158e+01°)
1.31522483219223e+02	(-1.55506321438208e+02dB,8.94251935937777e+01°)
1.31825673855640e+02	(-1.55446321406442e+02dB,8.94238709733421e+01°)
1.32129563418657e+02	(-1.55386321374529e+02dB,8.94225452982963e+01°)
1.32434153519466e+02	(-1.55326321342468e+02dB,8.94212165616116e+01°)
1.32739445772973e+02	(-1.55266321310260e+02dB,8.94198847562430e+01°)
1.33045441797808e+02	(-1.55206321277903e+02dB,8.94185498751289e+01°)
1.33352143216332e+02	(-1.55146321245397e+02dB,8.94172119111920e+01°)
1.33659551654643e+02	(-1.55086321212740e+02dB,8.94158708573381e+01°)
1.33967668742593e+02	(-1.55026321179933e+02dB,8.94145267064570e+01°)
1.34276496113786e+02	(-1.54966321146974e+02dB,8.94131794514218e+01°)
1.34586035405594e+02	(-1.54906321113864e+02dB,8.94118290850893e+01°)
1.34896288259165e+02	(-1.54846321080600e+02dB,8.94104756002998e+01°)
1.35207256319427e+02	(-1.54786321047183e+02dB,8.94091189898770e+01°)
1.35518941235103e+02	(-1.54726321013611e+02dB,8.94077592466280e+01°)
1.35831344658715e+02	(-1.54666320979885e+02dB,8.94063963633434e+01°)
1.36144468246594e+02	(-1.54606320946003e+02dB,8.94050303327971e+01°)
1.36458313658892e+02	(-1.54546320911964e+02dB,8.94036611477462e+01°)
1.36772882559584e+02	(-1.54486320877769e+02dB,8.94022888009313e+01°)
1.37088176616484e+02	(-1.54426320843415e+02dB,8.94009132850761e+01°)
1.37404197501251e+02	(-1.54366320808903e+02dB,8.93995345928875e+01°)
1.37720946889394e+02	(-1.54306320774232e+02dB,8.93981527170556e+01°)
1.38038426460288e+02	(-1.54246320739400e+02dB,8.93967676502534e+01°)
1.38356637897177e+02	(-1.54186320704408e+02dB,8.93953793851374e+01°)
1.38675582887188e+02	(-1.54126320669254e+02dB,8.93939879143468e+01°)
1.38995263121334e+02	(-1.54066320633938e+02dB,8.93925932305038e+01°)
